customerID,RiskScore,RunDate
7590-VHVEG,0.3043405804425449,2025-06-20
5575-GNVDE,0.1253085082134894,2025-06-20
3668-QPYBK,0.4391493345042733,2025-06-20
7795-CFOCW,0.045967622644538395,2025-06-20
9237-HQITU,0.5671487382562211,2025-06-20
9305-CDSKC,0.6858157502565774,2025-06-20
1452-KIOVK,0.4255510620038825,2025-06-20
6713-OKOMC,0.20519516749536187,2025-06-20
7892-POOKP,0.4795871523733873,2025-06-20
6388-TABGU,0.028639229843683896,2025-06-20
9763-GRSKD,0.27272319072257384,2025-06-20
7469-LKBCI,0.1130420094582011,2025-06-20
8091-TTVAX,0.13900777098833264,2025-06-20
0280-XJGEX,0.22417571239474515,2025-06-20
5129-JLPIS,0.5121571852087402,2025-06-20
3655-SNQYZ,0.13233355851861173,2025-06-20
8191-XWSZG,0.016119327861819282,2025-06-20
9959-WOFKT,0.09322711647398789,2025-06-20
4190-MFLUW,0.3502820610673755,2025-06-20
4183-MYFRB,0.45441896518232316,2025-06-20
8779-QRDMV,0.5036555093763481,2025-06-20
1680-VDCWW,0.14143996715489715,2025-06-20
1066-JKSGK,0.24275913901973623,2025-06-20
3638-WEABW,0.04171730672760734,2025-06-20
6322-HRPFA,0.06407006207143198,2025-06-20
6865-JZNKO,0.14908398270859952,2025-06-20
6467-CHFZW,0.2193927885168422,2025-06-20
8665-UTDHZ,0.29846393111184705,2025-06-20
5248-YGIJN,0.05230080148199734,2025-06-20
8773-HHUOZ,0.3263744570211442,2025-06-20
3841-NFECX,0.12081850579048217,2025-06-20
4929-XIHVW,0.8226554872542591,2025-06-20
6827-IEAUQ,0.22796037614801176,2025-06-20
7310-EGVHZ,0.2430180434345163,2025-06-20
3413-BMNZE,0.5429705814405759,2025-06-20
6234-RAAPL,0.07572128138478595,2025-06-20
6047-YHPVI,0.5092096451638338,2025-06-20
6572-ADKRS,0.1216568514605529,2025-06-20
5380-WJKOV,0.4027186765067902,2025-06-20
8168-UQWWF,0.639754126441413,2025-06-20
8865-TNMNX,0.3059190960119087,2025-06-20
9489-DEDVP,0.030054150322682077,2025-06-20
9867-JCZSP,0.1167007851136025,2025-06-20
4671-VJLCL,0.060217649367583156,2025-06-20
4080-IIARD,0.45813121218861963,2025-06-20
3714-NTNFO,0.1354897690915212,2025-06-20
5948-UJZLF,0.40738540808471124,2025-06-20
7760-OYPDY,0.6338312883192392,2025-06-20
7639-LIAYI,0.10178265336514672,2025-06-20
2954-PIBKO,0.02620318135204454,2025-06-20
8012-SOUDQ,0.32565512891961473,2025-06-20
9420-LOJKX,0.597686090095617,2025-06-20
6575-SUVOI,0.39839762738297396,2025-06-20
7495-OOKFY,0.6968372763063814,2025-06-20
4667-QONEA,0.10519453063102234,2025-06-20
1658-BYGOY,0.6697427086150791,2025-06-20
8769-KKTPH,0.11406134345388359,2025-06-20
5067-XJQFU,0.20647246314163045,2025-06-20
3957-SQXML,0.052111559236339595,2025-06-20
5954-BDFSG,0.09711866472452332,2025-06-20
0434-CSFON,0.2308890854350285,2025-06-20
1215-FIGMP,0.09432883373545581,2025-06-20
0526-SXDJP,0.010127733287426166,2025-06-20
0557-ASKVU,0.25194980132057393,2025-06-20
5698-BQJOH,0.6400689714402495,2025-06-20
5122-CYFXA,0.5859178140345884,2025-06-20
8627-ZYGSZ,0.1244662022087824,2025-06-20
3410-YOQBQ,0.2616082461606165,2025-06-20
3170-NMYVV,0.017774906193983156,2025-06-20
7410-OIEDU,0.5178229213460317,2025-06-20
2273-QCKXA,0.4197392274601302,2025-06-20
0731-EBJQB,0.016113376444612186,2025-06-20
1891-QRQSA,0.24357097729074542,2025-06-20
8028-PNXHQ,0.009743183313162597,2025-06-20
5630-AHZIL,0.5093803330100931,2025-06-20
2673-CXQEU,0.325115483173208,2025-06-20
6416-JNVRK,0.06923683061322762,2025-06-20
5590-ZSKRV,0.3739651821090978,2025-06-20
0191-ZHSKZ,0.36038376986656107,2025-06-20
3887-PBQAO,0.02884942187535338,2025-06-20
5919-TMRGD,0.6380962135908752,2025-06-20
8108-UXRQN,0.3087638005424009,2025-06-20
9191-MYQKX,0.5306311617524524,2025-06-20
9919-YLNNG,0.30118683080895003,2025-06-20
0318-ZOPWS,0.018953816079365905,2025-06-20
4445-ZJNMU,0.6640562778771982,2025-06-20
4808-YNLEU,0.14323185631077634,2025-06-20
1862-QRWPE,0.020570242610232818,2025-06-20
2796-NNUFI,0.022466738886085563,2025-06-20
3016-KSVCP,0.08516618972891811,2025-06-20
4767-HZZHQ,0.2835324355614987,2025-06-20
2424-WVHPL,0.7313655665881476,2025-06-20
7233-PAHHL,0.05901545964563397,2025-06-20
6067-NGCEU,0.1449848187790078,2025-06-20
9848-JQJTX,0.07646861618027975,2025-06-20
8637-XJIVR,0.4913124018208631,2025-06-20
9803-FTJCG,0.025299924498235375,2025-06-20
0278-YXOOG,0.20616658207387245,2025-06-20
3212-KXOCR,0.015810136732478254,2025-06-20
4598-XLKNJ,0.6168765008606302,2025-06-20
6380-ARCEH,0.2430180434345163,2025-06-20
3679-XASPY,0.24609355432233926,2025-06-20
7123-WQUHX,0.27845760855433743,2025-06-20
5386-THSLQ,0.030159176310110464,2025-06-20
3192-NQECA,0.12174891753589444,2025-06-20
6180-YBIQI,0.2212609995469381,2025-06-20
6728-DKUCO,0.08489191049494382,2025-06-20
9750-BOOHV,0.0672853485653327,2025-06-20
8597-CWYHH,0.223449118037184,2025-06-20
2848-YXSMW,0.00460472499403235,2025-06-20
0486-HECZI,0.1437884434043817,2025-06-20
4549-ZDQYY,0.05381906824255565,2025-06-20
5712-AHQNN,0.21747231053319868,2025-06-20
4846-WHAFZ,0.30124271237002115,2025-06-20
5256-SKJGO,0.025124184443974507,2025-06-20
3071-VBYPO,0.6721760759991321,2025-06-20
